"id","lon","lat","address"
"111","121.761740","25.063608","台北市大同區延平北路三段8號前"
"112","121.761740","25.063608","台北市大同區延平北路三段8號前攤位"
"114","121.766867","25.066001","台北市大同區昌吉街51號"
"115","121.762786","25.060246","台北市大同區保安街49巷17號"
"116","121.762556","25.059732","台北市大同區保安街49巷內"
"117","121.762556","25.059732","台北市大同區保安街49巷內"
"118","121.762556","25.059732","台北市大同區保安街49巷內"
"121","121.762556","25.059732","台北市大同區保安街49巷內"
"122","121.762556","25.059732","台北市大同區保安街49巷內"
"123","121.764180","25.054126","台北市大同區南京西路149號"
"124","121.765975","25.074367","台北市大同區哈密街59巷18弄18號"
"125","121.761099","25.054862","台北市大同區迪化街一段21號(永樂市場)1樓1041號"
"126","121.760882","25.054812","台北市大同區迪化街一段21號(永樂市場一樓1204室)"
"127","121.759946","25.062178","台北市大同區迪化街一段311號"
"128","121.765024","25.054488","台北市大同區重慶北路二段11號"
"129","121.764264","25.060047","台北市大同區重慶北路二段193號"
"130","121.765800","25.074447","台北市大同區重慶北路三段335巷32號"
"131","121.766289","25.074449","台北市大同區重慶北路三段335巷56號"
"132","121.766756","25.071876","台北市大同區酒泉街54-1號"
"133","121.766756","25.071876","台北市大同區酒泉街54之1號前"
"134","121.766756","25.071876","台北市大同區酒泉街54之1號前"
"135","121.769563","25.070130","台北市大同區承德路三段"
"136","121.765469","25.071847","台北市大同區酒泉街(延平北路口)"
"137","121.763083","25.060623","台北市大同區涼州街34號"
"138","121.770155","25.058644","台北市大同區萬全街40巷19號"
"139","121.770671","25.058138","台北市大同區萬全街40巷6號"
"141","121.766190","25.056378","台北市大同區寧夏路35號附近"
"142","121.766190","25.056378","台北市大同區寧夏路35號附近"
"143","121.765822","25.056319","台北市大同區寧夏路44號"
"144","121.765844","25.056389","台北市大同區寧夏路46號"
"145","121.766150","25.057400","台北市大同區寧夏路49號1樓"
"146","121.765903","25.056592","台北市大同區寧夏路54號附近"
"147","121.765968","25.056906","台北市大同區寧夏路68號前攤位"
